City,Country,Latitude,Longitude,Year,Month,Temperature
Hyderabad,India,17.38,78.47,1950,1,23.35
Hyderabad,India,17.38,78.47,1950,2,25.9
Hyderabad,India,17.38,78.47,1950,3,30.45
Hyderabad,India,17.38,78.47,1950,4,34.07
Hyderabad,India,17.38,78.47,1950,5,35.84
Hyderabad,India,17.38,78.47,1950,6,32.84
Hyderabad,India,17.38,78.47,1950,7,30.11
Hyderabad,India,17.38,78.47,1950,8,28.54
Hyderabad,India,17.38,78.47,1950,9,27.67
Hyderabad,India,17.38,78.47,1950,10,27.38
Hyderabad,India,17.38,78.47,1950,11,23.68
Hyderabad,India,17.38,78.47,1950,12,21.67
Hyderabad,India,17.38,78.47,1951,1,23.19
Hyderabad,India,17.38,78.47,1951,2,24.68
Hyderabad,India,17.38,78.47,1951,3,28.81
Hyderabad,India,17.38,78.47,1951,4,32.62
Hyderabad,India,17.38,78.47,1951,5,35.31
Hyderabad,India,17.38,78.47,1951,6,33.24
Hyderabad,India,17.38,78.47,1951,7,28.38
Hyderabad,India,17.38,78.47,1951,8,27.03
Hyderabad,India,17.38,78.47,1951,9,29.04
Hyderabad,India,17.38,78.47,1951,10,26.86
Hyderabad,India,17.38,78.47,1951,11,24.07
Hyderabad,India,17.38,78.47,1951,12,21.02
Hyderabad,India,17.38,78.47,1952,1,22.65
Hyderabad,India,17.38,78.47,1952,2,26.11
Hyderabad,India,17.38,78.47,1952,3,29.23
Hyderabad,India,17.38,78.47,1952,4,33.3
Hyderabad,India,17.38,78.47,1952,5,35.62
Hyderabad,India,17.38,78.47,1952,6,32.83
Hyderabad,India,17.38,78.47,1952,7,28.61
Hyderabad,India,17.38,78.47,1952,8,29.33
Hyderabad,India,17.38,78.47,1952,9,28.03
Hyderabad,India,17.38,78.47,1952,10,26.3
Hyderabad,India,17.38,78.47,1952,11,24.61
Hyderabad,India,17.38,78.47,1952,12,21.18
Hyderabad,India,17.38,78.47,1953,1,23.2
Hyderabad,India,17.38,78.47,1953,2,24.68
Hyderabad,India,17.38,78.47,1953,3,29.12
Hyderabad,India,17.38,78.47,1953,4,33.19
Hyderabad,India,17.38,78.47,1953,5,36.57
Hyderabad,India,17.38,78.47,1953,6,33.17
Hyderabad,India,17.38,78.47,1953,7,28.97
Hyderabad,India,17.38,78.47,1953,8,27.84
Hyderabad,India,17.38,78.47,1953,9,27.02
Hyderabad,India,17.38,78.47,1953,10,26.55
Hyderabad,India,17.38,78.47,1953,11,23.73
Hyderabad,India,17.38,78.47,1953,12,22.79
Hyderabad,India,17.38,78.47,1954,1,23.31
Hyderabad,India,17.38,78.47,1954,2,24.84
Hyderabad,India,17.38,78.47,1954,3,30.3
Hyderabad,India,17.38,78.47,1954,4,32.8
Hyderabad,India,17.38,78.47,1954,5,35.6
Hyderabad,India,17.38,78.47,1954,6,33.5
Hyderabad,India,17.38,78.47,1954,7,29.79
Hyderabad,India,17.38,78.47,1954,8,28.72
Hyderabad,India,17.38,78.47,1954,9,27.48
Hyderabad,India,17.38,78.47,1954,10,26.86
Hyderabad,India,17.38,78.47,1954,11,24.3
Hyderabad,India,17.38,78.47,1954,12,22.75
Hyderabad,India,17.38,78.47,1955,1,22.75
Hyderabad,India,17.38,78.47,1955,2,25.96
Hyderabad,India,17.38,78.47,1955,3,29.32
Hyderabad,India,17.38,78.47,1955,4,32.25
Hyderabad,India,17.38,78.47,1955,5,36.66
Hyderabad,India,17.38,78.47,1955,6,34.04
Hyderabad,India,17.38,78.47,1955,7,29.04
Hyderabad,India,17.38,78.47,1955,8,28.79
Hyderabad,India,17.38,78.47,1955,9,28.34
Hyderabad,India,17.38,78.47,1955,10,26.64
Hyderabad,India,17.38,78.47,1955,11,24.34
Hyderabad,India,17.38,78.47,1955,12,23.17
Hyderabad,India,17.38,78.47,1956,1,23.08
Hyderabad,India,17.38,78.47,1956,2,27.2
Hyderabad,India,17.38,78.47,1956,3,28.27
Hyderabad,India,17.38,78.47,1956,4,33.68
Hyderabad,India,17.38,78.47,1956,5,36.17
Hyderabad,India,17.38,78.47,1956,6,32.9
Hyderabad,India,17.38,78.47,1956,7,29.17
Hyderabad,India,17.38,78.47,1956,8,26.72
Hyderabad,India,17.38,78.47,1956,9,27.95
Hyderabad,India,17.38,78.47,1956,10,27.36
Hyderabad,India,17.38,78.47,1956,11,25.14
Hyderabad,India,17.38,78.47,1956,12,21.75
Hyderabad,India,17.38,78.47,1957,1,22.56
Hyderabad,India,17.38,78.47,1957,2,25.77
Hyderabad,India,17.38,78.47,1957,3,30.77
Hyderabad,India,17.38,78.47,1957,4,33.36
Hyderabad,India,17.38,78.47,1957,5,35.76
Hyderabad,India,17.38,78.47,1957,6,33.49
Hyderabad,India,17.38,78.47,1957,7,29.19
Hyderabad,India,17.38,78.47,1957,8,28.8
Hyderabad,India,17.38,78.47,1957,9,27.63
Hyderabad,India,17.38,78.47,1957,10,26.9
Hyderabad,India,17.38,78.47,1957,11,23.85
Hyderabad,India,17.38,78.47,1957,12,21.1
Hyderabad,India,17.38,78.47,1958,1,23.35
Hyderabad,India,17.38,78.47,1958,2,26.33
Hyderabad,India,17.38,78.47,1958,3,30.15
Hyderabad,India,17.38,78.47,1958,4,32.98
Hyderabad,India,17.38,78.47,1958,5,35.15
Hyderabad,India,17.38,78.47,1958,6,32.85
Hyderabad,India,17.38,78.47,1958,7,28.9
Hyderabad,India,17.38,78.47,1958,8,27.58
Hyderabad,India,17.38,78.47,1958,9,28.03
Hyderabad,India,17.38,78.47,1958,10,27.43
Hyderabad,India,17.38,78.47,1958,11,25.46
Hyderabad,India,17.38,78.47,1958,12,22.27
Hyderabad,India,17.38,78.47,1959,1,23.34
Hyderabad,India,17.38,78.47,1959,2,26.11
Hyderabad,India,17.38,78.47,1959,3,28.82
Hyderabad,India,17.38,78.47,1959,4,33.14
Hyderabad,India,17.38,78.47,1959,5,36.2
Hyderabad,India,17.38,78.47,1959,6,34.89
Hyderabad,India,17.38,78.47,1959,7,29.03
Hyderabad,India,17.38,78.47,1959,8,28.37
Hyderabad,India,17.38,78.47,1959,9,28.14
Hyderabad,India,17.38,78.47,1959,10,26.34
Hyderabad,India,17.38,78.47,1959,11,24.96
Hyderabad,India,17.38,78.47,1959,12,22.69
Hyderabad,India,17.38,78.47,1960,1,23.73
Hyderabad,India,17.38,78.47,1960,2,25.54
Hyderabad,India,17.38,78.47,1960,3,31.16
Hyderabad,India,17.38,78.47,1960,4,32.2
Hyderabad,India,17.38,78.47,1960,5,36.59
Hyderabad,India,17.38,78.47,1960,6,34.71
Hyderabad,India,17.38,78.47,1960,7,28.49
Hyderabad,India,17.38,78.47,1960,8,27.78
Hyderabad,India,17.38,78.47,1960,9,28.25
Hyderabad,India,17.38,78.47,1960,10,26.83
Hyderabad,India,17.38,78.47,1960,11,23.09
Hyderabad,India,17.38,78.47,1960,12,22.23
Hyderabad,India,17.38,78.47,1961,1,22.45
Hyderabad,India,17.38,78.47,1961,2,26.53
Hyderabad,India,17.38,78.47,1961,3,29.55
Hyderabad,India,17.38,78.47,1961,4,34.28
Hyderabad,India,17.38,78.47,1961,5,35.65
Hyderabad,India,17.38,78.47,1961,6,32.97
Hyderabad,India,17.38,78.47,1961,7,29.77
Hyderabad,India,17.38,78.47,1961,8,27.34
Hyderabad,India,17.38,78.47,1961,9,28.36
Hyderabad,India,17.38,78.47,1961,10,28.11
Hyderabad,India,17.38,78.47,1961,11,23.07
Hyderabad,India,17.38,78.47,1961,12,22.33
Hyderabad,India,17.38,78.47,1962,1,23.4
Hyderabad,India,17.38,78.47,1962,2,26.76
Hyderabad,India,17.38,78.47,1962,3,29.35
Hyderabad,India,17.38,78.47,1962,4,32.29
Hyderabad,India,17.38,78.47,1962,5,36.58
Hyderabad,India,17.38,78.47,1962,6,33.42
Hyderabad,India,17.38,78.47,1962,7,29.39
Hyderabad,India,17.38,78.47,1962,8,28.46
Hyderabad,India,17.38,78.47,1962,9,27.74
Hyderabad,India,17.38,78.47,1962,10,27.38
Hyderabad,India,17.38,78.47,1962,11,24.42
Hyderabad,India,17.38,78.47,1962,12,21.72
Hyderabad,India,17.38,78.47,1963,1,24.54
Hyderabad,India,17.38,78.47,1963,2,26.57
Hyderabad,India,17.38,78.47,1963,3,29.4
Hyderabad,India,17.38,78.47,1963,4,33.69
Hyderabad,India,17.38,78.47,1963,5,35.55
Hyderabad,India,17.38,78.47,1963,6,33.78
Hyderabad,India,17.38,78.47,1963,7,30.05
Hyderabad,India,17.38,78.47,1963,8,27.66
Hyderabad,India,17.38,78.47,1963,9,28.91
Hyderabad,India,17.38,78.47,1963,10,27.52
Hyderabad,India,17.38,78.47,1963,11,24.81
Hyderabad,India,17.38,78.47,1963,12,23.56
Hyderabad,India,17.38,78.47,1964,1,23.08
Hyderabad,India,17.38,78.47,1964,2,25.72
Hyderabad,India,17.38,78.47,1964,3,29.63
Hyderabad,India,17.38,78.47,1964,4,32.68
Hyderabad,India,17.38,78.47,1964,5,36.2
Hyderabad,India,17.38,78.47,1964,6,33.49
Hyderabad,India,17.38,78.47,1964,7,29.45
Hyderabad,India,17.38,78.47,1964,8,28.83
Hyderabad,India,17.38,78.47,1964,9,28.26
Hyderabad,India,17.38,78.47,1964,10,28.27
Hyderabad,India,17.38,78.47,1964,11,24.07
Hyderabad,India,17.38,78.47,1964,12,24.16
Hyderabad,India,17.38,78.47,1965,1,23.71
Hyderabad,India,17.38,78.47,1965,2,25.67
Hyderabad,India,17.38,78.47,1965,3,29.52
Hyderabad,India,17.38,78.47,1965,4,33.61
Hyderabad,India,17.38,78.47,1965,5,36.11
Hyderabad,India,17.38,78.47,1965,6,33.77
Hyderabad,India,17.38,78.47,1965,7,29.6
Hyderabad,India,17.38,78.47,1965,8,28.22
Hyderabad,India,17.38,78.47,1965,9,27.68
Hyderabad,India,17.38,78.47,1965,10,26.21
Hyderabad,India,17.38,78.47,1965,11,23.96
Hyderabad,India,17.38,78.47,1965,12,22.87
Hyderabad,India,17.38,78.47,1966,1,23.44
Hyderabad,India,17.38,78.47,1966,2,25.42
Hyderabad,India,17.38,78.47,1966,3,30.41
Hyderabad,India,17.38,78.47,1966,4,33.56
Hyderabad,India,17.38,78.47,1966,5,35.67
Hyderabad,India,17.38,78.47,1966,6,33.4
Hyderabad,India,17.38,78.47,1966,7,29.33
Hyderabad,India,17.38,78.47,1966,8,27.49
Hyderabad,India,17.38,78.47,1966,9,28.54
Hyderabad,India,17.38,78.47,1966,10,27.68
Hyderabad,India,17.38,78.47,1966,11,25.05
Hyderabad,India,17.38,78.47,1966,12,23.03
Hyderabad,India,17.38,78.47,1967,1,22.34
Hyderabad,India,17.38,78.47,1967,2,25.65
Hyderabad,India,17.38,78.47,1967,3,30.67
Hyderabad,India,17.38,78.47,1967,4,33.67
Hyderabad,India,17.38,78.47,1967,5,36.67
Hyderabad,India,17.38,78.47,1967,6,36.0
Hyderabad,India,17.38,78.47,1967,7,29.71
Hyderabad,India,17.38,78.47,1967,8,29.1
Hyderabad,India,17.38,78.47,1967,9,28.97
Hyderabad,India,17.38,78.47,1967,10,27.76
Hyderabad,India,17.38,78.47,1967,11,24.09
Hyderabad,India,17.38,78.47,1967,12,22.84
Hyderabad,India,17.38,78.47,1968,1,22.78
Hyderabad,India,17.38,78.47,1968,2,26.16
Hyderabad,India,17.38,78.47,1968,3,29.98
Hyderabad,India,17.38,78.47,1968,4,33.38
Hyderabad,India,17.38,78.47,1968,5,37.94
Hyderabad,India,17.38,78.47,1968,6,32.02
Hyderabad,India,17.38,78.47,1968,7,29.8
Hyderabad,India,17.38,78.47,1968,8,27.2
Hyderabad,India,17.38,78.47,1968,9,27.99
Hyderabad,India,17.38,78.47,1968,10,28.09
Hyderabad,India,17.38,78.47,1968,11,24.37
Hyderabad,India,17.38,78.47,1968,12,21.57
Hyderabad,India,17.38,78.47,1969,1,22.84
Hyderabad,India,17.38,78.47,1969,2,26.82
Hyderabad,India,17.38,78.47,1969,3,29.83
Hyderabad,India,17.38,78.47,1969,4,33.49
Hyderabad,India,17.38,78.47,1969,5,36.37
Hyderabad,India,17.38,78.47,1969,6,32.89
Hyderabad,India,17.38,78.47,1969,7,30.84
Hyderabad,India,17.38,78.47,1969,8,28.79
Hyderabad,India,17.38,78.47,1969,9,26.92
Hyderabad,India,17.38,78.47,1969,10,27.47
Hyderabad,India,17.38,78.47,1969,11,23.88
Hyderabad,India,17.38,78.47,1969,12,22.94
Hyderabad,India,17.38,78.47,1970,1,22.81
Hyderabad,India,17.38,78.47,1970,2,26.28
Hyderabad,India,17.38,78.47,1970,3,30.71
Hyderabad,India,17.38,78.47,1970,4,33.97
Hyderabad,India,17.38,78.47,1970,5,35.52
Hyderabad,India,17.38,78.47,1970,6,33.13
Hyderabad,India,17.38,78.47,1970,7,29.03
Hyderabad,India,17.38,78.47,1970,8,27.9
Hyderabad,India,17.38,78.47,1970,9,29.6
Hyderabad,India,17.38,78.47,1970,10,27.64
Hyderabad,India,17.38,78.47,1970,11,23.48
Hyderabad,India,17.38,78.47,1970,12,23.0
Hyderabad,India,17.38,78.47,1971,1,24.86
Hyderabad,India,17.38,78.47,1971,2,27.1
Hyderabad,India,17.38,78.47,1971,3,29.31
Hyderabad,India,17.38,78.47,1971,4,33.04
Hyderabad,India,17.38,78.47,1971,5,37.26
Hyderabad,India,17.38,78.47,1971,6,32.88
Hyderabad,India,17.38,78.47,1971,7,29.69
Hyderabad,India,17.38,78.47,1971,8,28.92
Hyderabad,India,17.38,78.47,1971,9,27.73
Hyderabad,India,17.38,78.47,1971,10,27.34
Hyderabad,India,17.38,78.47,1971,11,22.11
Hyderabad,India,17.38,78.47,1971,12,21.66
Hyderabad,India,17.38,78.47,1972,1,23.22
Hyderabad,India,17.38,78.47,1972,2,25.52
Hyderabad,India,17.38,78.47,1972,3,31.54
Hyderabad,India,17.38,78.47,1972,4,32.39
Hyderabad,India,17.38,78.47,1972,5,36.09
Hyderabad,India,17.38,78.47,1972,6,33.49
Hyderabad,India,17.38,78.47,1972,7,30.4
Hyderabad,India,17.38,78.47,1972,8,27.39
Hyderabad,India,17.38,78.47,1972,9,29.21
Hyderabad,India,17.38,78.47,1972,10,27.4
Hyderabad,India,17.38,78.47,1972,11,23.71
Hyderabad,India,17.38,78.47,1972,12,22.72
Hyderabad,India,17.38,78.47,1973,1,23.55
Hyderabad,India,17.38,78.47,1973,2,25.99
Hyderabad,India,17.38,78.47,1973,3,30.46
Hyderabad,India,17.38,78.47,1973,4,33.14
Hyderabad,India,17.38,78.47,1973,5,36.49
Hyderabad,India,17.38,78.47,1973,6,33.88
Hyderabad,India,17.38,78.47,1973,7,30.52
Hyderabad,India,17.38,78.47,1973,8,27.55
Hyderabad,India,17.38,78.47,1973,9,29.91
Hyderabad,India,17.38,78.47,1973,10,26.05
Hyderabad,India,17.38,78.47,1973,11,24.31
Hyderabad,India,17.38,78.47,1973,12,22.83
Hyderabad,India,17.38,78.47,1974,1,23.63
Hyderabad,India,17.38,78.47,1974,2,26.0
Hyderabad,India,17.38,78.47,1974,3,30.29
Hyderabad,India,17.38,78.47,1974,4,33.09
Hyderabad,India,17.38,78.47,1974,5,36.02
Hyderabad,India,17.38,78.47,1974,6,34.03
Hyderabad,India,17.38,78.47,1974,7,29.68
Hyderabad,India,17.38,78.47,1974,8,27.95
Hyderabad,India,17.38,78.47,1974,9,29.06
Hyderabad,India,17.38,78.47,1974,10,27.65
Hyderabad,India,17.38,78.47,1974,11,25.0
Hyderabad,India,17.38,78.47,1974,12,22.87
Hyderabad,India,17.38,78.47,1975,1,22.87
Hyderabad,India,17.38,78.47,1975,2,26.06
Hyderabad,India,17.38,78.47,1975,3,30.97
Hyderabad,India,17.38,78.47,1975,4,33.88
Hyderabad,India,17.38,78.47,1975,5,36.44
Hyderabad,India,17.38,78.47,1975,6,33.53
Hyderabad,India,17.38,78.47,1975,7,30.34
Hyderabad,India,17.38,78.47,1975,8,28.04
Hyderabad,India,17.38,78.47,1975,9,28.83
Hyderabad,India,17.38,78.47,1975,10,27.31
Hyderabad,India,17.38,78.47,1975,11,24.3
Hyderabad,India,17.38,78.47,1975,12,23.22
